554005;ÄHTÄRIN RAVINTOLA;63700;ÄHTÄRI;Ma-Pe 09:30-16:00;62.5503665;24.0687492;
547204;AKAAN RAVINTOLA;37800;AKAA;Ma-Pe 10:00-16:30;61.1680268;23.8666159;
543207;SOININ RAVINTOLA;63800;SOINI;Ma-Pe 09:30-16:00;62.87339859999999;24.2049239;
518807;ALAJÄRVEN RAVINTOLA;62900;ALAJÄRVI;Ma-Pe 09:30-16:00;63.0008257;23.8151559;
500509;ALASTARON RAVINTOLA;32440;ALASTARO;Ma 09:00-15:00, Ti 09:00-17:30, Ke-Pe 09:00-15:00;60.95245929999999;22.864238;
500604;ALAVIESKAN RAVINTOLA;85200;ALAVIESKA;Ma-Ke 09:00-15:30, To 09:00-16:30, Pe 09:00-15:30;64.1670473;24.3043702;
548516;TUURIN RAVINTOLA;63610;TUURI;Ma-Pe 09:30-11:30 ja 12:00-16:30;62.6030186;23.7359609;
500700;ALAVUDEN RAVINTOLA;63300;ALAVUS;Ma-Pe 09:30-16:30;62.5864592;23.6182848;
548502;TÖYSÄN RAVINTOLA;63600;TÖYSÄ;Ma-Pe 09:30-13:00;62.635541;23.820459;
555600;BRÄNDÖ ÅLAND;22920;BRÄNDÖ;Ma-Pe 09:30-16:15;60.3927574;21.0163307;
557870;FÖGLÖ ÅLAND;22710;FÖGLÖ;Ma 09:00-14:00, Ti 12:00-16:00, Ke-Pe 09:00-14:00;60.029619;20.3886845;
501017;PORLAMMIN RAVINTOLA;7820;PORLAMMI;Ma 09:00-12:00 ja 12:30-15:00, Ke 09:00-12:00 ja 12:30-15:00, Pe 09:00-12:00 ja 12:30-15:00;60.6815305;26.0323066;
501003;ARTJÄRVEN RAVINTOLA;16200;ARTJÄRVI;Ma 09:00-16:30, Ti-Pe 09:00-15:00;60.7460863;26.054181;
501300;ASKOLAN RAVINTOLA;7230;MONNINKYLÄ;Ma-Ke 09:00-16:00, To 09:00-16:45, Pe 09:00-16:00;60.4930446;25.5403451;
501327;ASKOLAN RAVINTOLA;7500;ASKOLA;Ma-Ke 09:00-16:00, To 09:00-16:45, Pe 09:00-16:00;60.5271403;25.6012106;
501405;AURAN RAVINTOLA;21381;AURA;Ma-Ke 09:00-15:30, To 09:00-17:30, Pe 09:00-15:30;60.6462062;22.590869;
510319;UIMAHARJUN RAVINTOLA;81280;UIMAHARJU;Ma-Pe 09:00-12:00;62.9134572;30.25339;
510305;ENON RAVINTOLA;81200;ENO;Ma-To 09:00-16:00, Pe 09:00-15:00;62.7990984;30.1577086;
509400;IMATRANKOSKEN RAVINTOLA;55100;IMATRA;Ma-Pe 10:00-16:30;61.17016849999999;28.77084839999999;
540215;RUOKOLAHDEN RAVINTOLA;56100;RUOKOLAHTI;Ma-Pe 10:00-12:00 ja 12:30-14:30;61.29271139999999;28.8123496;
